Wall time,Step,Value
1660460309.8497758,10240,3.0
1660460402.3728669,20480,2.799999952316284
1660460490.7780168,30208,3.0
1660460583.8091605,40448,3.0
1660460672.2294579,50176,3.0
1660460764.0860362,60416,3.0
1660460852.849943,70144,3.0
1660460947.0161116,80384,3.0
1660461037.046731,90112,3.0
1660461131.215602,100352,3.0
1660461217.846899,110080,3.0
1660461309.4577053,120320,3.0
1660461395.699274,130048,3.0
1660461487.4257963,140288,3.0
1660461574.7141104,150016,3.0
1660461665.642911,160256,3.0
1660461756.7813315,170496,3.0
1660461842.2942166,180224,3.0
1660461932.4988241,190464,3.0
1660462018.050788,200192,3.0
1660462111.742986,210432,3.0
1660462201.3791463,220160,3.0
1660462294.7559383,230400,3.0
1660462383.2121937,240128,3.0
1660462477.8448102,250368,3.0
1660462564.8421113,260096,3.0
1660462655.47823,270336,3.0
1660462743.1348553,280064,3.0
1660462835.1008952,290304,3.0
1660462921.9642546,300032,3.0
1660463013.7861814,310272,3.0
1660463099.9180057,320000,3.0
1660463191.2644832,330240,3.0
1660463283.3201354,340480,3.0
1660463368.6370573,350208,3.0
1660463459.0264304,360448,3.0
1660463545.0913024,370176,3.0
1660463635.9509726,380416,3.0
1660463724.1189747,390144,3.0
1660463815.7762895,400384,3.0
1660463902.803856,410112,3.0
1660463994.0992827,420352,1.0
1660464080.2981436,430080,3.0
1660464172.28971,440320,3.0
1660464259.1730704,450048,3.0
1660464352.1800768,460288,3.0
1660464439.1030118,470016,3.0
1660464531.4332185,480256,0.800000011920929
1660464622.9669847,490496,3.0
1660464710.6159782,500224,8.800000190734863
1660464802.1864383,510464,6.599999904632568
1660464891.7180238,520192,10.800000190734863
1660464984.322034,530432,3.0
1660465071.6399567,540160,3.0
1660465164.7114027,550400,4.599999904632568
1660465253.406782,560128,13.0
1660465346.0653443,570368,13.800000190734863
1660465435.5056827,580096,22.799999237060547
1660465527.4233608,590336,17.399999618530273
1660465613.5441709,600064,5.0
1660465705.1194372,610304,10.800000190734863
1660465792.4737258,620032,6.400000095367432
1660465883.8132882,630272,2.5999999046325684
1660465970.3306613,640000,8.399999618530273
1660466061.6677132,650240,22.399999618530273
1660466154.0829818,660480,15.800000190734863
1660466241.7625666,670208,19.600000381469727
1660466334.1191304,680448,17.200000762939453
1660466422.3839095,690176,26.200000762939453
1660466515.331349,700416,15.800000190734863
1660466602.9118252,710144,21.600000381469727
1660466696.118548,720384,22.600000381469727
1660466784.2102873,730112,19.600000381469727
1660466877.0135746,740352,18.399999618530273
1660466964.1817236,750080,11.399999618530273
1660467059.097379,760320,34.599998474121094
1660467146.8728201,770048,11.800000190734863
1660467238.41138,780288,16.799999237060547
1660467327.8623202,790016,20.200000762939453
1660467422.8607242,800256,23.0
1660467517.5475807,810496,24.399999618530273
1660467605.2676482,820224,10.800000190734863
1660467698.1738994,830464,13.600000381469727
1660467785.3699925,840192,17.799999237060547
1660467877.83215,850432,20.799999237060547
1660467965.7423134,860160,3.0
1660468057.759514,870400,16.799999237060547
1660468147.4046333,880128,26.0
1660468242.6060278,890368,32.599998474121094
1660468331.3077817,900096,25.399999618530273
1660468423.6604462,910336,23.799999237060547
1660468511.1829085,920064,23.0
1660468603.1537528,930304,12.199999809265137
1660468690.938088,940032,23.399999618530273
1660468782.9895873,950272,14.199999809265137
1660468870.0235653,960000,20.0
1660468962.5322585,970240,21.399999618530273
1660469054.2972875,980480,21.0
1660469142.5681767,990208,16.200000762939453
1660469235.6897912,1000448,19.399999618530273
1660469323.2701876,1010176,14.399999618530273
1660469416.6460352,1020416,20.399999618530273
1660469504.841227,1030144,19.600000381469727
1660469597.816386,1040384,22.799999237060547
1660469686.046274,1050112,19.600000381469727
1660469779.1757002,1060352,27.200000762939453
1660469866.5422897,1070080,7.0
1660469960.756738,1080320,35.400001525878906
1660470050.5009685,1090048,36.79999923706055
1660470144.4596226,1100288,38.599998474121094
1660470232.6315863,1110016,18.399999618530273
1660470325.7741425,1120256,23.200000762939453
1660470417.526123,1130496,5.800000190734863
1660470505.4035382,1140224,21.200000762939453
1660470600.550773,1150464,40.0
1660470687.2413726,1160192,13.199999809265137
1660470779.8870502,1170432,26.0
1660470865.6780276,1180160,8.399999618530273
1660470957.4332013,1190400,18.799999237060547
1660471046.0504148,1200128,32.599998474121094
1660471138.6790206,1210368,18.799999237060547
1660471227.4535992,1220096,32.400001525878906
1660471319.6958625,1230336,28.0
1660471407.7016501,1240064,33.79999923706055
1660471499.2850375,1250304,25.200000762939453
1660471586.2046793,1260032,11.199999809265137
1660471677.5773706,1270272,5.0
1660471764.9854681,1280000,24.799999237060547
1660471857.078531,1290240,23.799999237060547
1660471948.9264991,1300480,24.799999237060547
1660472036.243254,1310208,29.600000381469727
1660472127.1004403,1320448,1.0
1660472212.7795792,1330176,1.0
1660472303.5094378,1340416,15.399999618530273
1660472389.1409402,1350144,10.600000381469727
1660472481.9018989,1360384,20.200000762939453
1660472570.5927453,1370112,29.799999237060547
1660472662.4115362,1380352,20.200000762939453
1660472751.8185403,1390080,37.400001525878906
1660472843.321483,1400320,26.0
1660472930.5282753,1410048,21.399999618530273
1660473021.487805,1420288,9.800000190734863
1660473107.1273196,1430016,17.600000381469727
1660473197.8257842,1440256,1.600000023841858
1660473289.6048822,1450496,14.199999809265137
1660473377.8574116,1460224,33.79999923706055
1660473469.834065,1470464,21.799999237060547
1660473558.5683794,1480192,52.79999923706055
1660473650.7215412,1490432,23.600000381469727
1660473737.890112,1500160,35.0
1660473829.7121124,1510400,34.599998474121094
1660473917.3968234,1520128,46.20000076293945
1660474012.0791774,1530368,57.0
1660474100.4717495,1540096,34.599998474121094
1660474192.0366356,1550336,26.799999237060547
1660474281.0719783,1560064,36.79999923706055
1660474372.0730076,1570304,27.200000762939453
1660474459.1871133,1580032,19.399999618530273
1660474551.742778,1590272,32.400001525878906
1660474639.2154977,1600000,33.0
1660474731.980005,1610240,32.20000076293945
1660474825.0137155,1620480,35.400001525878906
1660474912.2943275,1630208,32.400001525878906
1660475004.5319078,1640448,55.0
1660475092.1298206,1650176,41.0
1660475182.0777192,1660416,36.20000076293945
1660475268.6944988,1670144,44.79999923706055
1660475358.6741803,1680384,29.600000381469727
1660475444.854458,1690112,33.20000076293945
1660475534.5294244,1700352,22.600000381469727
1660475623.1763163,1710080,70.5999984741211
1660475712.684274,1720320,34.79999923706055
1660475799.3519084,1730048,53.0
1660475890.9935353,1740288,44.79999923706055
1660475977.7577088,1750016,59.599998474121094
1660476067.736472,1760256,40.20000076293945
1660476160.0765302,1770496,54.599998474121094
1660476249.0077896,1780224,51.599998474121094
1660476340.9000225,1790464,73.5999984741211
1660476428.4492424,1800192,66.19999694824219
1660476518.4278264,1810432,28.399999618530273
1660476604.5844903,1820160,55.20000076293945
1660476694.904246,1830400,21.600000381469727
1660476783.6633556,1840128,69.19999694824219
1660476873.044831,1850368,25.600000381469727
1660476961.686673,1860096,63.400001525878906
1660477053.2932248,1870336,63.79999923706055
1660477138.687906,1880064,12.800000190734863
1660477230.6326509,1890304,47.400001525878906
1660477317.4268982,1900032,60.20000076293945
1660477407.5342045,1910272,50.0
1660477493.6617074,1920000,46.20000076293945
1660477581.719246,1930240,29.799999237060547
1660477670.9356983,1940480,32.0
1660477758.8453794,1950208,69.4000015258789
1660477847.623769,1960448,23.200000762939453
1660477933.4399667,1970176,31.0
1660478024.2389379,1980416,58.400001525878906
1660478116.515153,1990144,121.5999984741211
1660478211.3362012,2000384,104.4000015258789
1660478300.3390355,2010112,75.5999984741211
1660478392.3611865,2020352,64.19999694824219
1660478480.0501688,2030080,51.20000076293945
1660478574.0485668,2040320,94.80000305175781
1660478663.454199,2050048,74.19999694824219
1660478757.3095047,2060288,56.20000076293945
1660478847.5578716,2070016,65.80000305175781
1660478942.3877072,2080256,58.0
1660479037.427952,2090496,55.0
1660479129.2856948,2100224,110.4000015258789
1660479225.4357793,2110464,76.80000305175781
1660479314.3716137,2120192,55.0
1660479407.5274627,2130432,63.400001525878906
1660479494.7087772,2140160,24.600000381469727
1660479587.1467214,2150400,46.20000076293945
1660479677.3193674,2160128,80.0
1660479774.483394,2170368,82.80000305175781
1660479866.2385838,2180096,65.19999694824219
1660479959.8182576,2190336,37.0
1660480049.410545,2200064,56.599998474121094
1660480142.7200344,2210304,61.0
1660480232.95727,2220032,90.0
1660480326.1694417,2230272,50.400001525878906
1660480417.9501967,2240000,80.4000015258789
1660480512.247073,2250240,56.599998474121094
1660480608.03116,2260480,66.0
1660480697.0769389,2270208,55.79999923706055
1660480790.6965783,2280448,62.79999923706055
1660480881.0200138,2290176,62.0
1660480975.6893744,2300416,70.0
1660481064.1899424,2310144,35.400001525878906
1660481158.9607172,2320384,49.599998474121094
1660481248.2566788,2330112,38.20000076293945
1660481344.684064,2340352,80.19999694824219
1660481433.2619717,2350080,51.20000076293945
1660481527.4542243,2360320,51.20000076293945
1660481618.0600548,2370048,81.80000305175781
1660481712.557374,2380288,40.79999923706055
1660481804.6546752,2390016,78.5999984741211
1660481898.382911,2400256,60.0
1660481995.9889739,2410496,88.5999984741211
1660482085.8442485,2420224,40.0
1660482180.6413333,2430464,55.599998474121094
1660482272.5919063,2440192,98.4000015258789
1660482366.601868,2450432,27.600000381469727
1660482458.37426,2460160,89.80000305175781
1660482556.12453,2470400,89.5999984741211
1660482647.6188772,2480128,60.400001525878906
1660482744.068119,2490368,70.4000015258789
1660482837.9194834,2500096,104.80000305175781
1660482931.1906915,2510336,53.599998474121094
1660483021.9150958,2520064,64.4000015258789
1660483116.8984427,2530304,52.20000076293945
1660483206.3370647,2540032,53.599998474121094
1660483300.4553354,2550272,53.79999923706055
1660483390.5051274,2560000,44.20000076293945
1660483486.5679352,2570240,69.4000015258789
1660483579.5092893,2580480,31.600000381469727
1660483668.9930515,2590208,31.799999237060547
1660483764.1476226,2600448,76.80000305175781
1660483857.788867,2610176,99.80000305175781
